1	1	1	-0.901811	0.00907128
1	1	2	-0.901811	0.00907128
1	1	3	-0.901811	0.00907128
2	1	1	-0.901811	0.00907128
2	1	2	-0.901811	0.00907128
2	1	3	-0.901811	0.00907128
2	1	4	-0.901811	0.00907128
2	1	5	-0.901811	0.00907128
2	1	6	-0.901811	0.00907128
2	1	7	-0.901811	0.00907128
3	1	1	-0.901811	0.00907128
3	1	2	-0.901811	0.00907128
3	1	3	-0.901811	0.00907128
3	1	4	-0.901811	0.00907128
3	1	5	-0.901811	0.00907128
3	1	6	-0.901811	0.00907128
4	1	1	-0.901811	0.00907128
4	1	2	-0.901811	0.00907128
4	1	3	-0.901811	0.00907128
4	1	4	-0.901811	0.00907128
4	1	5	-0.901811	0.00907128
4	1	6	-0.901811	0.00907128
5	1	1	-0.901811	0.00907128
5	1	2	-0.901811	0.00907128
1	2	1	-0.916227	0.00875463
1	2	2	-0.916227	0.00875463
1	2	3	-0.916227	0.00875463
2	2	1	-0.916227	0.00875463
2	2	2	-0.916227	0.00875463
2	2	3	-0.916227	0.00875463
2	2	4	-0.916227	0.00875463
2	2	5	-0.916227	0.00875463
2	2	6	-0.916227	0.00875463
2	2	7	-0.916227	0.00875463
3	2	1	-0.916227	0.00875463
3	2	2	-0.916227	0.00875463
3	2	3	-0.916227	0.00875463
3	2	4	-0.916227	0.00875463
3	2	5	-0.916227	0.00875463
3	2	6	-0.916227	0.00875463
4	2	1	-0.916227	0.00875463
4	2	2	-0.916227	0.00875463
4	2	3	-0.916227	0.00875463
4	2	4	-0.916227	0.00875463
4	2	5	-0.916227	0.00875463
4	2	6	-0.916227	0.00875463
5	2	1	-0.916227	0.00875463
5	2	2	-0.916227	0.00875463
1	3	1	-1.01794	0.0093626
1	3	2	-1.01794	0.0093626
1	3	3	-1.01794	0.0093626
2	3	1	-1.01794	0.0093626
2	3	2	-1.01794	0.0093626
2	3	3	-1.01794	0.0093626
2	3	4	-1.01794	0.0093626
2	3	5	-1.01794	0.0093626
2	3	6	-1.01794	0.0093626
2	3	7	-1.01794	0.0093626
3	3	1	-1.01794	0.0093626
3	3	2	-1.01794	0.0093626
3	3	3	-1.01794	0.0093626
3	3	4	-1.01794	0.0093626
3	3	5	-1.01794	0.0093626
3	3	6	-1.01794	0.0093626
4	3	1	-1.01794	0.0093626
4	3	2	-1.01794	0.0093626
4	3	3	-1.01794	0.0093626
4	3	4	-1.01794	0.0093626
4	3	5	-1.01794	0.0093626
4	3	6	-1.01794	0.0093626
5	3	1	-1.01794	0.0093626
5	3	2	-1.01794	0.0093626
1	4	1	-1.41293	0.00981847
1	4	2	-1.41293	0.00981847
1	4	3	-1.41293	0.00981847
2	4	1	-1.41293	0.00981847
2	4	2	-1.41293	0.00981847
2	4	3	-1.41293	0.00981847
2	4	4	-1.41293	0.00981847
2	4	5	-1.41293	0.00981847
2	4	6	-1.41293	0.00981847
2	4	7	-1.41293	0.00981847
3	4	1	-1.41293	0.00981847
3	4	2	-1.41293	0.00981847
3	4	3	-1.41293	0.00981847
3	4	4	-1.41293	0.00981847
3	4	5	-1.41293	0.00981847
3	4	6	-1.41293	0.00981847
4	4	1	-1.41293	0.00981847
4	4	2	-1.41293	0.00981847
4	4	3	-1.41293	0.00981847
4	4	4	-1.41293	0.00981847
4	4	5	-1.41293	0.00981847
4	4	6	-1.41293	0.00981847
5	4	1	-1.41293	0.00981847
5	4	2	-1.41293	0.00981847
1	5	1	0.0000	0.0000
1	5	2	0.0000	0.0000
1	5	3	0.0000	0.0000
2	5	1	0.0000	0.0000
2	5	2	0.0000	0.0000
2	5	3	0.0000	0.0000
2	5	4	0.0000	0.0000
2	5	5	0.0000	0.0000
2	5	6	0.0000	0.0000
2	5	7	0.0000	0.0000
3	5	1	0.0000	0.0000
3	5	2	0.0000	0.0000
3	5	3	0.0000	0.0000
3	5	4	0.0000	0.0000
3	5	5	0.0000	0.0000
4	5	1	0.0000	0.0000
4	5	2	0.0000	0.0000
4	5	3	0.0000	0.0000
4	5	4	0.0000	0.0000
4	5	5	0.0000	0.0000
1	6	1	0.0000	0.0000
1	6	2	0.0000	0.0000
1	6	3	0.0000	0.0000
2	6	1	0.0000	0.0000
2	6	2	0.0000	0.0000
2	6	3	0.0000	0.0000
2	6	4	0.0000	0.0000
2	6	5	0.0000	0.0000
2	6	6	0.0000	0.0000
2	6	7	0.0000	0.0000
3	6	1	0.0000	0.0000
3	6	2	0.0000	0.0000
3	6	3	0.0000	0.0000
3	6	4	0.0000	0.0000
3	6	5	0.0000	0.0000
3	6	6	0.0000	0.0000
4	6	1	0.0000	0.0000
4	6	2	0.0000	0.0000
4	6	3	0.0000	0.0000
4	6	4	0.0000	0.0000
4	6	5	0.0000	0.0000
4	6	6	0.0000	0.0000
5	6	1	0.0000	0.0000
5	6	2	0.0000	0.0000
